user_id,duolingo_start_date,daily_goal,highest_course_progress,took_placement_test,purchased_subscription,highest_crown_count,n_active_days,n_lessons_started,n_lessons_completed,longest_streak,n_days_on_platform,
35cb7e8f72c911e9888edca9049399ef,1/10/22 21:14,,46,TRUE,FALSE,277,88,741,668,135,137,
35ca34fd72c911e99ed6dca9049399ef,2/28/21 5:01,,50,TRUE,FALSE,62,16,57,57,6,453,
35d1a54a72c911e98e25dca9049399ef,5/7/18 17:55,1,71,FALSE,FALSE,202,29,315,295,55,1481,
35d4beb072c911e9aa92dca9049399ef,4/27/22 9:28,,2,FALSE,FALSE,2,3,6,5,1,30,
35ccf4bd72c911e9be2edca9049399ef,4/9/19 3:16,,34,FALSE,FALSE,216,57,338,297,56,1144,
35ce7c1c72c911e9b0e4dca9049399ef,4/28/22 10:34,30,9,FALSE,TRUE,46,28,305,292,13,29,
35d540eb72c911e9af04dca9049399ef,2/15/17 20:53,1,64,FALSE,FALSE,299,46,62,62,1228,1927,
35cba80272c911e9beffdca9049399ef,9/16/16 18:08,,45,FALSE,TRUE,73,34,131,112,46,2079,
35d0286372c911e98aa2dca9049399ef,10/14/19 7:50,50,32,FALSE,FALSE,184,90,382,359,187,956,
35cad8bd72c911e99f09dca9049399ef,8/9/21 22:39,30,21,TRUE,TRUE,144,65,601,552,47,291,
35d7879472c911e9893bdca9049399ef,12/10/20 14:04,50,15,TRUE,FALSE,29,2,3,0,0,533,
35d6e88272c911e9b159dca9049399ef,1/22/22 12:02,,18,TRUE,FALSE,62,94,214,209,119,125,
35d5c99972c911e99f73dca9049399ef,5/7/22 1:19,20,3,FALSE,FALSE,3,6,19,13,1,20,
35cc9d3d72c911e9afe4dca9049399ef,6/4/20 10:01,,26,FALSE,FALSE,63,13,1,1,1,722,
35d09f0572c911e988a1dca9049399ef,8/8/20 18:53,30,38,FALSE,FALSE,155,28,156,125,2,657,
35d3f9c772c911e98588dca9049399ef,4/8/22 13:54,,2,FALSE,FALSE,,21,55,59,3,49,
35cbdf3372c911e9a00ddca9049399ef,12/6/21 22:22,,14,FALSE,FALSE,44,36,58,55,5,172,
35ceb53872c911e99a94dca9049399ef,11/5/21 18:11,,29,FALSE,FALSE,129,81,376,347,57,203,
35d2374c72c911e9bd8ddca9049399ef,6/16/21 16:50,20,29,TRUE,TRUE,153,73,329,249,33,345,
35d53b0f72c911e9944fdca9049399ef,8/7/18 16:19,,72,TRUE,FALSE,210,95,805,797,280,1389,
35d2a70f72c911e99701dca9049399ef,5/6/22 6:15,,5,FALSE,FALSE,20,18,128,122,15,21,
35cf079c72c911e9a6e1dca9049399ef,10/21/20 8:23,,33,TRUE,FALSE,292,80,111,110,35,583,
35cc9aee72c911e9b9a2dca9049399ef,5/23/22 11:49,20,4,FALSE,FALSE,4,5,14,14,3,4,
35d66eae72c911e996d8dca9049399ef,10/9/19 5:30,30,34,TRUE,TRUE,180,33,86,84,6,961,
35cbd98072c911e9bd12dca9049399ef,8/26/20 15:53,20,72,TRUE,FALSE,198,95,1708,1560,281,639,
35d4196872c911e9a587dca9049399ef,3/12/21 12:09,,31,TRUE,TRUE,275,95,843,819,346,441,
35d4981772c911e9ae09dca9049399ef,4/16/22 11:24,10,3,FALSE,FALSE,5,8,35,31,2,41,
35d712dc72c911e98c34dca9049399ef,7/28/21 15:13,,16,TRUE,FALSE,31,7,26,23,6,303,
35d68a2372c911e98e37dca9049399ef,4/24/22 5:54,,1,FALSE,FALSE,0,3,1,1,0,33,
35cdf31472c911e9a2dadca9049399ef,2/14/22 20:03,10,5,FALSE,FALSE,18,81,156,143,69,102,
35d20b0272c911e99309dca9049399ef,10/4/21 21:55,,34,TRUE,FALSE,340,87,452,460,103,235,
35cb69b372c911e9bac0dca9049399ef,10/17/16 18:35,,16,FALSE,FALSE,93,29,518,491,16,2048,
35d2fc0f72c911e9a97ddca9049399ef,10/15/18 22:00,,49,FALSE,FALSE,,7,47,42,3,1320,
35d529ae72c911e9b4a3dca9049399ef,7/23/20 13:36,,7,FALSE,FALSE,14,4,15,14,1,673,
35cc66ab72c911e99b4fdca9049399ef,3/28/22 20:16,,11,TRUE,FALSE,64,25,190,144,6,60,
35d00bde72c911e9ad63dca9049399ef,6/25/21 16:33,20,5,FALSE,FALSE,7,3,3,3,1,336,
35d4cf3572c911e9aa27dca9049399ef,4/27/22 15:46,,2,FALSE,FALSE,7,12,42,35,4,30,
35d6010772c911e99f36dca9049399ef,1/11/22 16:35,,10,FALSE,FALSE,,64,235,214,11,136,
35ca78a672c911e99a83dca9049399ef,7/19/20 22:41,10,23,FALSE,TRUE,100,93,163,122,196,677,
35d33a9172c911e98b2bdca9049399ef,4/17/17 23:26,,31,TRUE,FALSE,161,57,342,300,33,1866,
35d278c772c911e9a0f9dca9049399ef,4/16/20 0:07,,34,FALSE,TRUE,152,82,519,511,42,771,
35d64d5172c911e99157dca9049399ef,8/26/19 21:18,,23,FALSE,FALSE,83,23,128,115,6,1005,
35ce5a6672c911e9948edca9049399ef,6/13/21 15:09,,58,TRUE,TRUE,534,65,437,428,42,348,
35cbe06872c911e9b853dca9049399ef,8/7/18 23:39,20,51,TRUE,TRUE,176,79,140,130,213,1389,
35d21a8572c911e9a4aedca9049399ef,3/10/22 7:14,,25,TRUE,FALSE,181,77,334,337,78,78,
35cc466872c911e9a4b7dca9049399ef,5/7/22 6:09,,4,FALSE,FALSE,5,9,24,19,4,20,
35d6c59772c911e98bd9dca9049399ef,10/5/18 16:26,,30,FALSE,FALSE,201,77,294,283,40,1330,
35d4037572c911e980ccdca9049399ef,3/24/18 1:27,,43,TRUE,FALSE,31,3,11,8,1,1525,
35d6305772c911e98004dca9049399ef,1/9/21 19:43,,12,FALSE,FALSE,52,40,264,262,20,503,
35cb239472c911e9af3bdca9049399ef,2/14/22 11:05,50,7,FALSE,TRUE,44,86,649,564,96,102,
35d30e6b72c911e9bccbdca9049399ef,3/22/21 11:23,,20,FALSE,FALSE,34,41,262,255,22,431,
35d418e872c911e999b5dca9049399ef,8/20/19 17:03,10,23,FALSE,FALSE,143,74,219,89,772,1011,
35d1073372c911e98e10dca9049399ef,11/21/17 15:46,,25,FALSE,FALSE,100,4,60,58,4,1648,
35cd3d7a72c911e990e1dca9049399ef,3/5/22 6:57,,28,TRUE,FALSE,75,82,477,472,81,83,
35d78f9472c911e99245dca9049399ef,5/8/22 23:42,,2,FALSE,FALSE,1,3,11,7,1,19,
35cedfae72c911e9b9bedca9049399ef,3/8/22 6:40,,14,TRUE,FALSE,77,68,472,466,15,80,
35cf19a672c911e9bdb4dca9049399ef,6/2/20 18:26,,31,TRUE,FALSE,,95,256,226,78,724,
35caf97072c911e9a039dca9049399ef,2/12/19 1:23,30,55,TRUE,TRUE,49,9,44,35,1,1200,
35ce19d472c911e9aedfdca9049399ef,12/29/20 15:42,50,31,FALSE,TRUE,95,56,846,819,55,514,
35cd941e72c911e9a475dca9049399ef,4/22/22 4:52,20,2,FALSE,FALSE,1,4,4,3,0,35,
35cc580572c911e9b8a3dca9049399ef,3/28/22 21:30,20,22,FALSE,TRUE,44,55,285,272,59,60,
35cc05b872c911e98d11dca9049399ef,4/26/17 0:36,,64,FALSE,FALSE,219,84,255,239,48,1857,
35d5121e72c911e9a215dca9049399ef,4/13/21 6:55,20,25,FALSE,FALSE,62,28,55,47,6,409,
35ce925e72c911e9ad76dca9049399ef,12/29/19 18:29,,31,FALSE,FALSE,104,95,193,189,63,880,
35cfc04a72c911e9a31edca9049399ef,9/11/18 8:23,10,64,FALSE,FALSE,140,86,221,201,155,1354,
35d0b27072c911e99ff0dca9049399ef,3/23/19 17:29,20,58,TRUE,TRUE,269,49,259,254,6,1161,
35d5935772c911e9804cdca9049399ef,9/26/20 22:31,,83,TRUE,FALSE,186,30,91,85,2,608,
35d43fee72c911e98755dca9049399ef,5/23/22 13:40,,15,TRUE,FALSE,31,5,25,25,5,4,
35d609fa72c911e9b04cdca9049399ef,12/17/21 12:01,10,16,FALSE,FALSE,23,7,8,6,1,161,
35cbc6b572c911e99ebddca9049399ef,4/2/22 22:42,30,7,FALSE,FALSE,55,49,537,442,15,55,
35d07e0c72c911e995bfdca9049399ef,11/22/21 7:17,20,8,FALSE,FALSE,53,93,187,187,44,186,
35cd867372c911e99041dca9049399ef,9/24/19 1:10,30,34,TRUE,FALSE,139,1,3,3,0,976,
35d26cd172c911e99ceedca9049399ef,6/6/20 22:32,20,7,FALSE,TRUE,43,52,299,288,14,720,
35d43b5172c911e9addddca9049399ef,12/11/17 7:51,,31,FALSE,FALSE,234,93,108,105,855,1628,
35d2d17372c911e98adadca9049399ef,3/7/22 11:18,50,35,TRUE,FALSE,125,78,719,585,44,81,
35cd627872c911e98bfbdca9049399ef,7/13/21 6:11,20,32,FALSE,FALSE,153,83,218,209,46,318,
35d12f5172c911e9bfd1dca9049399ef,10/1/21 23:22,,34,TRUE,TRUE,166,66,487,429,24,238,
35d1cc1472c911e9b018dca9049399ef,1/20/22 3:26,,14,TRUE,TRUE,96,69,260,241,127,127,
35cb5ad172c911e9be94dca9049399ef,7/30/20 19:59,20,64,FALSE,TRUE,269,93,557,523,178,666,
35ceaef872c911e98843dca9049399ef,2/27/18 12:40,,7,FALSE,TRUE,16,19,38,36,18,1550,
35ce6b0072c911e9b464dca9049399ef,4/28/22 13:25,,29,TRUE,FALSE,74,30,290,282,30,29,
35cb857a72c911e9bb47dca9049399ef,3/28/22 21:16,,17,FALSE,FALSE,29,35,127,107,11,60,
35cb12a172c911e9a5aedca9049399ef,5/4/19 1:12,10,1,FALSE,FALSE,0,2,,,0,1119,
35cf0ede72c911e99276dca9049399ef,9/12/21 23:52,,62,FALSE,TRUE,113,92,191,186,223,257,
35d6a59972c911e9b707dca9049399ef,4/3/21 13:00,,25,TRUE,FALSE,154,69,200,192,315,419,
35d0062b72c911e99f14dca9049399ef,4/27/22 10:14,50,7,FALSE,FALSE,10,3,19,18,1,30,
35cf368572c911e9a5f5dca9049399ef,1/21/18 22:25,50,48,TRUE,TRUE,314,86,747,593,110,1587,
35d438fa72c911e9829adca9049399ef,7/2/18 19:33,,38,FALSE,FALSE,152,67,133,104,2,1425,
35d5a85172c911e9acb2dca9049399ef,5/5/19 17:54,,31,TRUE,FALSE,189,94,456,394,827,1118,
35cca84c72c911e9a148dca9049399ef,4/20/22 16:23,,13,FALSE,FALSE,23,38,80,70,15,37,
35d5243572c911e9a7fddca9049399ef,4/28/22 7:49,,33,FALSE,TRUE,114,30,474,432,30,29,
35d574cc72c911e9b1d9dca9049399ef,3/28/22 14:33,,7,FALSE,FALSE,14,16,102,78,3,60,
35ca8e2b72c911e998cedca9049399ef,8/19/21 4:40,10,54,TRUE,TRUE,,92,125,124,159,281,
35d610d972c911e99d69dca9049399ef,8/16/20 13:30,20,35,TRUE,FALSE,195,30,121,111,4,649,
35d78e0572c911e98d0ddca9049399ef,5/8/22 16:07,,2,FALSE,FALSE,1,3,3,2,1,19,
35c9fc6e72c911e99681dca9049399ef,1/29/20 5:45,,58,TRUE,FALSE,275,91,232,232,589,849,
35d2dce372c911e9bc38dca9049399ef,12/17/18 17:28,,17,TRUE,FALSE,25,12,89,79,3,1257,
35d1a34c72c911e9a3cedca9049399ef,4/28/20 13:31,10,32,TRUE,FALSE,117,33,67,62,11,759,
35cd8b0f72c911e989d8dca9049399ef,3/28/22 13:21,20,12,FALSE,FALSE,18,40,111,69,3,60,
35d3c2c572c911e9a35bdca9049399ef,12/22/21 19:13,20,17,TRUE,TRUE,122,91,856,743,142,156,
35d3c4f572c911e98f17dca9049399ef,9/30/17 6:53,,34,FALSE,FALSE,85,89,96,97,142,1700,
35cba76172c911e9a0badca9049399ef,1/1/21 3:55,50,18,FALSE,FALSE,28,2,13,11,1,511,
35d2ed7372c911e99184dca9049399ef,3/10/21 23:11,20,41,FALSE,FALSE,36,19,61,49,2,443,
35cc784a72c911e98bdcdca9049399ef,2/25/22 8:02,10,5,FALSE,FALSE,11,36,65,45,8,91,
35d6bcd972c911e98a6edca9049399ef,1/15/22 21:12,,4,FALSE,FALSE,6,4,22,21,1,132,
35cdab0c72c911e9aa28dca9049399ef,5/5/19 20:37,50,50,TRUE,FALSE,178,3,17,11,1,1118,
35cf23eb72c911e9a271dca9049399ef,1/1/21 20:50,,58,TRUE,FALSE,131,75,280,270,123,511,
35cdee1c72c911e9b5e8dca9049399ef,5/20/22 21:01,20,3,FALSE,FALSE,9,8,93,84,7,7,
35cba37872c911e98c1ddca9049399ef,4/10/19 12:56,20,15,TRUE,FALSE,49,1,,,0,1143,
35ccfa4072c911e9acc4dca9049399ef,4/11/21 8:55,10,32,FALSE,FALSE,91,95,95,95,315,411,
35d6ac9772c911e9bef6dca9049399ef,10/17/20 1:52,10,14,FALSE,FALSE,33,1,,,0,587,
35cfd47372c911e9bc28dca9049399ef,12/30/20 14:11,,10,FALSE,FALSE,63,50,230,192,5,513,
35d51d0572c911e9baa6dca9049399ef,10/20/18 18:04,,14,TRUE,FALSE,13,6,15,12,3,1315,
35d4f31172c911e9add0dca9049399ef,5/3/18 5:51,50,31,TRUE,TRUE,193,89,841,739,172,1485,
35d2ca2372c911e9b991dca9049399ef,2/27/20 11:48,,23,TRUE,FALSE,45,5,25,23,2,820,
35d6a26672c911e99139dca9049399ef,10/14/20 16:16,20,13,TRUE,FALSE,,2,2,0,0,590,
35d0219772c911e988d0dca9049399ef,4/13/22 11:03,,6,TRUE,FALSE,35,44,227,225,44,44,
35d12cab72c911e9bef5dca9049399ef,5/24/22 12:41,30,11,FALSE,FALSE,15,2,10,10,2,3,
35d2caa672c911e9918edca9049399ef,4/12/22 19:19,20,21,TRUE,FALSE,71,12,306,294,4,45,
35cfc25172c911e986d5dca9049399ef,8/1/21 23:10,,38,FALSE,FALSE,108,8,20,19,3,299,
35d719d972c911e99a20dca9049399ef,5/11/19 7:32,,20,FALSE,FALSE,61,34,181,174,21,1112,
35d6451472c911e9b577dca9049399ef,4/26/22 20:33,,10,FALSE,TRUE,67,30,321,304,11,31,
35d0455e72c911e9b69edca9049399ef,12/12/20 13:15,20,10,FALSE,FALSE,49,39,198,191,10,531,
35cba2d972c911e99b81dca9049399ef,3/31/21 18:20,,60,TRUE,FALSE,117,59,147,135,50,422,
35cbb1b072c911e9b0f4dca9049399ef,3/21/21 13:52,50,25,FALSE,TRUE,80,13,47,37,3,432,
35cca69472c911e9b36bdca9049399ef,8/16/21 5:51,,41,TRUE,FALSE,168,57,73,46,6,284,
35cb330c72c911e993dadca9049399ef,4/3/22 18:42,,10,TRUE,FALSE,55,15,109,78,3,54,
35d6f30572c911e99c9fdca9049399ef,6/10/18 0:34,,69,TRUE,FALSE,56,72,208,195,41,1447,
35d1b14772c911e99d05dca9049399ef,7/24/19 3:38,20,64,FALSE,TRUE,205,95,793,775,1037,1038,
35cfd8a872c911e9a869dca9049399ef,5/15/21 11:22,,22,TRUE,TRUE,84,29,76,71,4,377,
35d4457072c911e9aec0dca9049399ef,4/7/22 17:27,,13,TRUE,FALSE,78,50,524,518,38,50,
35cb888572c911e98491dca9049399ef,9/19/16 20:12,,64,TRUE,TRUE,164,60,212,198,59,2076,
35d2cbb372c911e99161dca9049399ef,1/2/22 19:11,50,17,FALSE,TRUE,78,55,389,350,5,145,
35cd332872c911e99232dca9049399ef,4/30/22 19:45,20,10,TRUE,TRUE,40,28,249,236,26,27,
35ceaffd72c911e98c8adca9049399ef,2/17/22 18:07,,15,FALSE,TRUE,42,64,162,157,57,99,
35d57fd972c911e9815edca9049399ef,11/23/15 14:28,,47,FALSE,FALSE,447,77,252,242,37,2377,
35d1052b72c911e994c6dca9049399ef,11/3/19 10:51,,50,TRUE,FALSE,155,57,136,99,4,936,
35d5687572c911e98e3edca9049399ef,1/2/21 14:48,20,34,FALSE,TRUE,175,93,308,283,72,510,
35d76ec572c911e9ae2adca9049399ef,9/13/19 15:48,,44,FALSE,FALSE,,85,920,830,78,987,
35cf26d972c911e9a02ddca9049399ef,7/12/20 19:47,10,35,TRUE,TRUE,71,95,219,204,370,684,
35ca24c772c911e99fdcdca9049399ef,3/7/22 19:13,,6,FALSE,TRUE,37,72,349,323,74,81,
35cde0fd72c911e98a21dca9049399ef,10/22/16 8:52,20,11,FALSE,FALSE,51,58,145,128,72,2043,
35d12ba672c911e99e23dca9049399ef,3/5/22 11:49,50,12,FALSE,TRUE,69,67,1116,860,28,83,
35d7527372c911e9b9f9dca9049399ef,6/29/18 16:21,,,,FALSE,,1,,,0,1428,
35d0cee872c911e998bddca9049399ef,6/7/21 14:06,20,20,TRUE,TRUE,123,84,335,317,139,354,
35d0f6ae72c911e997f4dca9049399ef,7/28/18 8:01,,31,TRUE,FALSE,,94,638,600,367,1399,
35d77b8a72c911e989e7dca9049399ef,9/29/21 12:18,,29,TRUE,TRUE,78,55,319,301,10,240,
35d2b74772c911e9b2b4dca9049399ef,11/18/20 3:50,,55,TRUE,FALSE,19,3,31,30,1,555,
35cd965972c911e9beebdca9049399ef,5/24/22 20:51,,3,FALSE,FALSE,6,3,33,30,4,3,
35cda7cf72c911e9a388dca9049399ef,3/1/22 15:00,50,20,TRUE,FALSE,55,38,246,220,3,87,
35ce247d72c911e986fbdca9049399ef,8/3/19 19:26,,83,TRUE,TRUE,567,95,473,488,792,1028,
35d600a372c911e98193dca9049399ef,8/20/21 7:43,,33,TRUE,FALSE,201,81,477,464,21,280,
35d60a5e72c911e98d5fdca9049399ef,1/6/21 23:16,10,18,FALSE,FALSE,75,50,58,54,13,506,
35d12a1772c911e98bf2dca9049399ef,7/28/20 21:19,20,47,FALSE,FALSE,185,95,492,290,532,668,
35d757d972c911e9878edca9049399ef,3/24/21 18:53,,53,FALSE,FALSE,64,11,163,158,2,429,
35d2481c72c911e9b082dca9049399ef,12/16/21 10:02,10,15,TRUE,FALSE,91,78,159,151,30,162,
35d05fe672c911e99334dca9049399ef,3/22/22 12:42,,9,TRUE,FALSE,,52,72,71,17,66,
35cf894072c911e9b147dca9049399ef,11/19/19 20:39,30,64,TRUE,FALSE,90,17,78,70,5,920,
35ca018c72c911e9a63cdca9049399ef,4/27/22 19:09,,4,FALSE,FALSE,19,27,137,131,26,30,
35d60aeb72c911e9b0c3dca9049399ef,4/17/21 16:44,,27,TRUE,FALSE,108,4,1,1,0,405,
35cb47fd72c911e9a0c1dca9049399ef,10/9/21 0:16,10,8,FALSE,FALSE,44,75,136,127,122,230,
35cdff2672c911e9b36ddca9049399ef,5/23/22 17:51,,3,TRUE,FALSE,7,2,32,31,2,4,
35cc644772c911e99842dca9049399ef,7/28/21 8:25,,18,FALSE,FALSE,48,41,187,156,20,303,
35d3b90272c911e9bafcdca9049399ef,4/11/20 12:18,10,31,TRUE,FALSE,132,88,124,96,215,776,
35cef1eb72c911e9b6e9dca9049399ef,4/26/22 21:48,50,9,TRUE,FALSE,18,5,35,28,1,31,
35cbc4b872c911e99a2fdca9049399ef,11/6/21 15:07,20,17,FALSE,FALSE,26,22,71,21,3,202,
35cf460f72c911e98c10dca9049399ef,4/24/22 11:07,20,6,FALSE,TRUE,24,33,178,112,10,33,
35ce59e672c911e9868edca9049399ef,4/26/22 6:52,30,5,FALSE,FALSE,34,32,470,363,32,31,
35d2044072c911e99431dca9049399ef,5/27/19 20:36,20,60,FALSE,TRUE,200,84,710,620,858,1096,
35d6287372c911e9ad4ddca9049399ef,11/11/20 20:10,50,11,FALSE,FALSE,42,16,220,186,5,562,
35d6099e72c911e999c8dca9049399ef,4/13/21 19:13,,64,FALSE,FALSE,482,94,220,220,281,409,
35d74eb372c911e99252dca9049399ef,8/30/19 8:53,10,27,FALSE,FALSE,100,88,99,89,257,1001,
35ca6ffa72c911e993bcdca9049399ef,7/22/18 18:00,50,64,TRUE,TRUE,238,95,508,495,98,1405,
